code,title,credits,description,prerequisites
CP 6036,Community Dynamics and Engagement,2,"Study of theories and dynamics of community-building, with a focus on working in communities, equity and inclusive community engagement.",Graduate standing required
CP 6037,"Planning Law, Regulation and Implementation",3,"Study of legal framework of planning focusing on managing development and increasing opportunity to achieve desired outcomes for the economy, society, and the environment.",Graduate standing required
CP 6052,Applied Planning Studio,4,"Analysis and preparation of alternatives for an existing neighborhood, community, or region.  Emphasis on application of planning skills in a real-world situation.",Graduate standing required
CP 6053,Applied Planning Studio (Urban Design),6,"The studio investigates urban physical settings. It emphasizes processes from visual representation, performanece evaluations to design decision making of future sustainable urban systems.",Graduate standing required
CP 6055,Planning Studio,5,"Analysis and preparation of alternatives for an existing neighborhood, community, or region. Emphasis on application of planning skills in a real-world situation.",Graduate standing required
CP 6105,Land Conservation,3,"This course considers the distinctive American view of land and history of the conservation movement, then discusses the why and how of modern land conservation.",Graduate standing required
CP 6112,Introduction to Land Use Planning,3,This course introduces students to land use planning.  The basic rationale for land use planning and its form in different states is covered.,Graduate standing required
CP 6122,Land Use Planning Methods,3,This course explores the techniques of land use planning and applies them to specific land use types.,Graduate standing required
CP 6190,Introduction to Climate Change Planning,3,"This course equips students with the knowledge and methods necessary to develop the next generation fo state, local, corporate, and enterprise climate action planning.",Graduate standing required
CP 6213,Urb Env Plan & Design,3,This course introduces students to the basic theoretical and analytical underpinnings of urban environmental planning and design.,Graduate standing required
CP 6214,Environmental Planning and Impact Assessment,3,"Examines the principles, processes, and methods of environmental planning.  Focus on environmental science and its use in impact assessment and project evaluation.",Graduate standing required
CP 6217,Climate Change and the City,3,The course explores land use and urban design strategies for adapting to climate change in cities and on local hazard mitigation policy.,Graduate standing required
CP 6223,Policy Tools for Environmental Management,3,"The course covers the regulatory, market, and procedural tools used to manage the environment. It examines the strengths and weaknesses of alternative techniques.",Graduate standing required
CP 6233,Sustainable Urban Development,3,Explores the principles and practice of sustainable urban development and the role of planning.,Graduate standing required
CP 6241,Water Resources Planning,3,"Fundamentals of water resources planning and watershed management. Emphasis on urban water resources problems, policies, and practices.",Graduate standing required
CP 6243,Health Impact Assessment,3,"Students conduct an HIA, evaluate a completed HIA and propose approaches to institutionalizing HIA in institutions that traditionally do not focus on health outcomes.",Graduate standing required
CP 6250,Hazardous Waste Planning and Management,3,"Examines the planning tools and management techniques for the proper use, storage, transport, and disposal of hazardous material and waste products.",Graduate standing required
CP 6261,Environmental Law,3,"This course introduces students to the framework of legislation that shapes environmental planning and policy, including NEPA, Clean Air Act, and Clean Water Act.",Graduate standing required
CP 6311,Introduction to Transportation Planning,4,"Overview course in transportation planning including basic principles to understanding transportation, current transportation problems, transportation policy, and decision-making processes and methods.",Graduate standing required
CP 6321,Transportation Planning Methods and Investment Decisions,4,"Review of transportation methods and how they interface with investment decisions.  How transportation planners at the local, regional, state, and federal levels employ methods.",Graduate standing required
CP 6331,Land Use and Transportation Interaction,3,"Overview of land use and transportation planning principles, how development impacts transportation, how transportation investments impact development patterns and air quality.",Graduate standing required
CP 6341,Urban Design and Non-Motorized Accessibility,3,Examines role and opportunity to make walking and biking viable travel options in urban environments and how urban environments need to be designed to encourage non-motorized travel.,Graduate standing required
CP 6351,Transportation and Economic Development,3,"Impact of transportation infrastructure investments on economic outcomes at a range of geographic scales including neighborhood, municipality, regional, and statewide.",Graduate standing required
CP 6361,Regional Transportation Planning and Administration,3,"This course will address the administrative, political, methodological, and social issues underlying the regional transportation planning process.",Graduate standing required
CP 6412,Foundations of Local Economic Development Planning and,3,"Policy Introduction to local economic development planning, examining theory, process and practice, international and regional factors, public and private roles.",Graduate standing required
CP 6422,Economic Development Analysis and Practice,3,"This course focuses on strategy development, methods of analysis, and approaches to practice for urban and regional economic development policy and planning.",Graduate standing required
CP 6432,Industrial Restructuring and Its Planning Implications,3,Examines industrial restructuring trends and theoretical frameworks; develops industry case studies; and considers economic development planning's role in industrial restructuring.,Graduate standing required
CP 6442,"Equity, Social Justice, and Economic Development",3,"Explores concepts and theories of equity and social justice, analysis of indicators of (in)justice/equity, and economic development planning's role in promoting equity and social justice.",Graduate standing required
CP 6452,Urban Development Policy,3,"Introduces elements of urban policy and economic development by examining them historically, nationally, and locally. Approaches to urban development and redevelopment are analyzed.",Graduate standing required
CP 6514,Introduction to Geographic Information Systems,3,This course introduces students to spatial analysis using geographic information systems.  Fundamentals of software design and geographic data are covered.,Graduate standing required
CP 6521,Advanced Geographic Information Systems,3,"The course provides students with advanced spatial analysis techniques including network analysis, three-dimensional surface modeling, and GIS application development.",Graduate standing required
CP 6531,Introduction to Remote Sensing,3,This course introduces students to the collection and use of satellite imagery and other remote sensing data.,Graduate standing required
CP 6541,Environmental Analysis Using GIS,3,This course focuses on the application of geographic information systems (GIS) to environmental problems. It highlights the types and sources of data appropriate to those applications.,Graduate standing required
CP 6542,Transport & GIS,3,"Transportation data models, data processing, modeling, and service delivery in geographical information systems.",Graduate standing required
CP 6543,Public Health Analytics,3,"Presents a comprehensive socioecological framework for conducting healthy places research and practice, and metrics and analytical methods to measure and model health determinants and outcomes.",Graduate standing required
CP 6545,Climate Change Analytics,3,"This course addresses the  global problem of climate change using powerful, recently-developed tools from the fields of data science and geospatial analytics.",Graduate standing required
CP 6551,Spatial Analysis of Socioeconomic Data,3,"This course provides students with an in-depth study of the spatial distribution of human activity, including population, housing, and employment.  Credit not allowed for both CP 6551 and CP 6570 .",Credit restriction: CP 6551 and CP 6570; Graduate standing required; CP 6551 and CP 6570
CP 6552,Design of Smart Urban Systems,3,"The course integrates data analytics, systems science and urban design. It covers theories, methods, modeling tools and case studies in the context of smart cities.",Graduate standing required
CP 6561,Geodemographics: Data Sources and Methods,3,Explores important secondary data sources used by planners and analysts working with smaller geographic areas. Experience with hardware and software used to analyze data.,Graduate standing required
CP 6570,Socioeconomic GIS,3,"This advanced GIS course addresses the collection, management, analysis, and interpretation of spatial social, economic, housing, and demographic information.  Credit not allowed for both CP 6570 and CP 6551 .",Credit restriction: CP 6570 and CP 6551; Graduate standing required; CP 6570 and CP 6551
CP 6581,Programming for Geographic Information Systems,3,This course teaches fundamental programming skills for geoprocessing and data presentation in a geographic information system environment. The primary languages used are Python and Javascript.,Graduate standing required
CP 6591,GIS Professionalization,1,This course provides MSGIST students with a bridge from the academic world to the professional GIS world.,Graduate standing required
CP 6592,Capstone Project Research,1,"This course allows students to select a MSGIST capstone project topic, conduct a professional and academic literature review, and assemble required spatial datasets.",Graduate standing required
CP 6595,GIS Systems Design and Management,3,"This course equips students to address a range of issues related to GIS data acquisition, database design, system configuration, and project management.",Graduate standing required
CP 6596,GIS Capstone Project,3,"Students plan and execute a major professional project using standard GIS methodologies, and communicate the project results in written, graphic, and public presentation formats.",Graduate standing required
CP 6611,Principles of Real Estate Finance and Development,3,"Introduction to principles of real estate finance, focusing on the role the public sector plays in making desirable development projects financially feasible.",Graduate standing required
CP 6612,Community Development,3,"This course will examine neighborhood-based efforts, public policy, trends and practices that have shaped community development in American inner city communities since 1950.",Graduate standing required
CP 6621,Real Estate Market Research,3,Introduction to real estate market research with particular focus on analyses of housing and office markets.,Graduate standing required
CP 6630,Government and Housing Markets,3,"Examination of the operation of local housing markets and national, state, regional, and local housing policies.",Graduate standing required
CP 6640,Applied Real Estate Development Methods,3,"Application of the development process, market and financial feasibility analyses, and public policy to large development projects.  Extensive use of case studies involving professional developers.",Graduate standing required
CP 6652,Asset-Based Community Development in Practice,1,"Introduces and reviews the basics of Asset-Based Community Development (ABCD): working with communities based on their assets, or strengths. In collaboration with community partners, students explore ABCD in action via campus and community site visits.",Graduate standing required
CP 6680,Citizen Participation and Community Engagement,3,"This course discusses planners' reasons fro engaging communitites in the planning process, evaluates various engagement methods, and produces a guide to direct future practice.",Graduate standing required
CP 6701,Urban Transportation Planning,3,"An overview course on the history, finance, operations, modeling, politics, environmental impacts, and planning of urban transportation systems in the United States.",Graduate standing required
CP 6702,Urban Transportation Planning Laboratory,1,Transportation planning/engineering laboratory and field experience.,Graduate standing required
CP 6704,Introduction to Global Development,3,"Introduces the goals, theories and key institutional actors involved in Global Development.",Graduate standing required
CP 6760,Negotiation and Conflict Management,3,"Practical and theoretical instruction on techniques of negotiation and consensus building using training exercises and case studies.  Emphasizes environmental, policy, planning, and development disputes.  Crosslisted with PUBP 6760 .",Graduate standing required; PUBP 6760
CP 6811,"Negotiation, Facilitation, and Conflict Management",3,Theoretical and practical instruction on techniques of negotiation and consensus building using case studies and training exercises.,Graduate standing required
CP 6815,Cinema City,3,"Explores people's response to cities, augmenting the empirical analysis that is urban studies domain with the subjective perspectives of cinematic artists.",Graduate standing required
CP 6821,Basic Methods of Policy Analysis and Planning,3,"Synthesizes elements of the program core's analytic techniques and employs them in a case study context. Cases address urban policy, planning, and management.",Graduate standing required
CP 6825,Public Sector Finance and Budgeting,3,"Theory and practice of public finance. Emphasis on applications in local government revenue collection, budgeting, and expenditure analysis.",Graduate standing required
CP 6831,Urban Growth and Infrastructure Systems,3,This course provides students with a basic understanding of urban infrastructure systems and their role in shaping urban growth and development.,Graduate standing required
CP 6832,Introduction to Urban Design,3,"An introduction to the study, research, and practice of urban design examining traditional design principles and their application to the contemporary city.",Graduate standing required
CP 6834,Urban Design Policy: Analysis and Implementation,3,Urban design policy making and its implementation including an analysis of the behavioral basis for policies that promote quality in built form.  Credit not allowed for both CP 6834 and ARCH 6303 .,Credit restriction: CP 6834 and ARCH 6303; Graduate standing required; CP 6834 and ARCH 6303
CP 6836,Urban Ecological Design,3,"This course engages the contemporary issues of urban ecology and its articulation to design.  It explores relationship between urban forms, and flows of ecology, energy, material, water and information.  Credit not allowed for both CP 6836 and ARCH 6447 .",Credit restriction: CP 6836 and ARCH 6447; Graduate standing required; CP 6836 and ARCH 6447
CP 6850,Public Health and the Built Environment,2,"This interdisciplinary course examines how cities and neighborhoods can have both positive and adverse effects on human health, and produces recommendations to improve these outcomes.",Graduate standing required
CP 6960,Urban Analytics Capstone Project,1,"Students prepare to execute a major professional project using urban analytics methodologies and communicate the project results in written, graphic, and public presentation formats.",Graduate standing required
CP 6962,Urban Analytics Capstone Project,5,"Students plan and execute a major professional project using urban analytics methodologies, and communicate the project results in written, graphic, and public presentation formats. CP 6XXX.  City Planning Elective.  1-21 Credit Hours.",Graduate standing required
CP 8000,Doctoral Planning Seminar,1,This course provides students and faculty an opportunity to present and discuss planning research.,Graduate standing required
CP 8012,PhD Foundations Seminar,1,"Incoming City and Regional Planning doctoral students reflect upon research, assess opportunities afforded by doctoral education, and develop a plan of study for the program.",Graduate standing required
CP 8022,PhD Seminar in Research and Pedagogy,1,"Students conceptualize and share ongoing research with their peers, develop professional and pedagogical skills, and explore issues of student and career
development.",Graduate standing required
CP 8200,Advanced Planning Theory,3,"Seminar on planning theory, including philosophy of science, political philosophy and ethical theory.  The course explores the theoretical basis for planning as a social activity.  Credit not allowed for both CP 8200 and COA 8520.",Credit restriction: CP 8200 and COA 8520; Graduate standing required; CP 8200 and COA 8520
CP 8300,Advanced Urban and Regional Development Theory,3,"Examines principal urban-regional economic, and spatial theories for explaining economic, social and physical forces influencing locations, growth and decline of cities and regions. Credit not allowed for both CP 8300 and COA 8540.",Credit restriction: CP 8300 and COA 8540; Graduate standing required; CP 8300 and COA 8540
CP 8400,Research Design and Qualitative Methods,3,"Examines issues associated with the design and methodological implementation of planning and applied social research, with a focus on techniques for qualitative inquiry.  Credit not allowed for both CP 8400 and COA 8510.",Credit restriction: CP 8400 and COA 8510; Graduate standing required; CP 8400 and COA 8510
CP 8505,"Advanced Quantitative Research Methods for Planning, Policy and Design",3,"This course addresses two complementary topics: the design of quantitative research related to planning, design, and policy; and advanced statistical techniques for accomplishing such research.  Credit not allowed for both CP 8505 and COA 8510.",Credit restriction: CP 8505 and COA 8510; Graduate standing required; CP 8505 and COA 8510
CP 8813,Special Topics in Land Use Planning,3,Topics of current interest in land use planning.,Graduate standing required
CP 8822,Special Topics,2,Special Topics in City Planning.,Graduate standing required
CP 8823,Special Topics in Environmental Planning,3,Topics of current interest in environmental planning.,Graduate standing required
CP 8833,Special Topics in Transportation Planning,3,Topics of current interest in transportation planning.,Graduate standing required
CP 8843,Special Topics in Economic Development,3,Topics of current interest in economic development.,Graduate standing required
CP 8851,Special Topics in GIS,1,Topics of current interest in Geographic Information Systems.,Graduate standing required
CP 8852,Special Topics in GIS,2,Topics of current interest in Geographic Information Systems.,Graduate standing required
CP 8853,Special Topics in Geographic Information Systems,3,Topics of current interest in geographic information systems.,Graduate standing required
CP 8863,Special Topics in Land Development,3,Topics of current interest in land development.,Graduate standing required
CP 8873,Special Topics in Urban Design,3,Topics of current interest in urban design.,Graduate standing required
CP 8876,Special Topics in Urban Design,6,Special Topics.,Graduate standing required
CP 8881,Special Topics in City and Regional Planning,1,Topics of current interest in city and regional planning.,Graduate standing required
CP 8882,Special Topics in City and Regional Planning,2,Topics of current interest in city and regional planning.,Graduate standing required
CP 8883,Special Topics in City and Regional Planning,3,Topics of current interest in city and regional planning.,Graduate standing required
CEE 1070,Engineering Graphics for Civil and Environmental Engineering,1,"Introduction to engineering graphics for CEE covering sketching, computer-aided design, and essential concepts for the interpretation of design drawings.",
CEE 1090,Exploring Civil and Environmental Engineering,2,A course for introducing new CEE students to the fields of civil and environmental engineering framed within cross-cutting topic areas.,
CEE 1770,Introduction to Engineering Graphics and Visualization,3,"Engineering graphics and visualization including sketching, line drawing, and solid modeling.Development and interpretation of drawings and specification for product realization. Crosslisted with AE and ME 1770. CEE 1XXX.  Civil and Environmental Engineering Elective.  1-21 Credit Hours.",AE and ME 1770
CEE 2040,Dynamics,2,Kinematics and kinetics of particles and rigid bodies in one and two dimensions; principles of work/energy and impulse/momentum.,
CEE 2090,Civil and Environmental Engineering Systems,3,"Infrastructure viewed from a systems perspective; planning, analytical and evaluation approaches for civil- and environmental-engineered facilities; sustainability - engineering economy; environmental and social quality of life considerations.",
CEE 2300,Environmental Engineering Principles,3,"Introduction to chemical, biological, and physical processes in the environment. Discussion of the basic processes governing air, water, and land quality, and the behavior and impacts of contaminants associated with human and industrial activities.",
CEE 2803,Special Topics,3,,
CEE 2812,Special Topics,2,Special Topics in CEE.,
CEE 3000,Civil Engineering Systems,3,Infrastructure viewed from a systems perspective; analytical approaches and modeling of civil-engineered facilities; sustainability; engineering economy applications.,
CEE 3010,Geomatics,3,"Spatial data collection methods including surveying, photogrammetry, remote sensing, and global positioning systems; management, manipulation, and analysis of spatial and associated attribute data.",
CEE 3020,Civil Engineering Materials,3,"Physical, mechanical, and durability properties of concrete, metals, unreinforced and reinforced plastics, timber, asphalt, and asphalt concrete.",
CEE 3040,Fluid Mechanics,3,"Elementary mechanics of fluids with emphasis on hydrostatics, control volume analysis of flowing fluids using kinematics, continuity, energy, and momentum principles; similitude, pipe flow.",
CEE 3051,Introduction to Structural Engineering,3,Concepts in structural engineering related to the analysis and design of various types of structures such that they behave as intended throughout their lifetime.,
CEE 3052,Introduction to Structural Engineering for the Global Engineering Leadership Minor,3,Concepts in structural engineering related to the analysis and design of various types of structures such that they behave as intended throughout their lifetime.,
CEE 3055,Structural Analysis,3,"Determination of internal forces and deflection in statically determinate trusses, beams, and frames. Introduction to analysis of statically indeterminate structures.",
CEE 3090,Data Analytics in Civil and Environmental Engineering,3,"Data analytics applications for CEE, accessing and assessing datasets, tools focused on machine learning, advantages and limitations of data driven approaches, communication data-driven assessments.",
CEE 3340,Environmental Engineering Laboratory,3,"Theory and application of environmental laboratory methods for measurement of fundamental properties and characteristics of dissolved and particulate constituents in water, air and soil systems.",
CEE 3400,Introduction to Geotechnical Engineering,3,"Introduction to soil as an engineering material, with a focus on the mechanics of soil strength and compressibility, and fluid flow through soils.",
CEE 3770,Statistics and Applications,3,"Introduction to probability, probability distributions, point estimation, confidence intervals, hypothesis testing, linear regression, and analysis of variance. Example applied to the field of civil and environmental engineering. Crosslisted with MATH 3770 and ISYE 3770 . Also, credit not awarded for both CEE 3770 and MATH 3670 . CEE 3XXX.  Civil and Environmental Engineering Elective.  1-21 Credit Hours.",MATH 3770 and ISYE 3770
CEE 4000,Global Engineering Leadership,3,"Addresses skills necessary for the global engineer-leader: creating an engineering firm and evaluating its global viability; written, oral, and cross-cultural communication; collaboration; ethics; strategic planning.",
CEE 4005,Innovation & Entrepreneurship in CEE Systems,3,"This course highlights opportunities for innovation and entrepreneurship in Civil and Environmental Engineering Systems, and the essential components of forming, pitching, and starting a business.",
CEE 4050,Infrastructure System Management,3,Introduction to general concepts and advanced topics in infrastructure systems management applied to manage large-scale infrastructure assets.,
CEE 4090,Capstone Design,3,"An interdisciplinary civil and environmental design experience.  Problem definition, data acquisition, modeling and analysis, evaluation of design alternatives, oral and written presentation of final design.",
CEE 4100,Construction Engineering and Management,3,"Fundamental concepts in planning, design, and construction of civil engineering projects.  Introduction to project scheduling, cost estimating, controls, procurement, value engineering, quality assurance, and safety.",
CEE 4101,Construction Seminar,1,"The seminar provides a platform for students to engage with construction industry companies and experts, to learn about different construction disciplines, their projects, and experiences.",
CEE 4110,"Construction Planning, Estimating, and Scheduling",3,"An integrated approach to planning, estimating, and scheduling of construction projects, including basic and advanced concepts, applications, and tools for developing plans, estimates, and schedules.",
CEE 4120,Construction Operations,3,"An integrated approach to construction methods, including basic and advanced concepts, applications, and tools for planning, analysis, and assessment of construction methods and equipment.",
CEE 4130,Construction Safety and Health,3,"Fundamentals to safety and health as they apply to civil infrastructure and building construction.  Topics include planning, design, management, rules and guidelines, best practices, and inspection of safety and health.",
CEE 4140,Building Information Modeling (BIM) in Construction,3,"Theory and Application of Building Information Modeling ( BIM) in the Architecture/Engineering/Construction (A/E/C) industry with emphasis on Constructability, Scheduling.  Front End Planning (FEP) and Construction monitoring.",
CEE 4150,Construction Management & Megaprojects,3,"Covers planning and development of megaprojects. Addresses social, environmental, and economic impacts of megaprojects. Discusses cultural differences & ethical issues in managing megaprojects.",
CEE 4160,Smart and Sustainable Cities,3,This course examines city infrastructure systems’ impact on urban sustainability. It further explores the role of “smart” technological solutions to address mounting urban sustainability challenges.,
CEE 4170,Construction Law,3,"Overview includes legal concepts, the mechanics of the judicial system, professional liability and other legal issues as they pertain to construction engineers.",
CEE 4200,Hydraulic Engineering,3,"Applications of fluid mechanics to engineering and natural systems including fluid drag, open channel flow, turbomachinery, and environmental hydraulics; laboratory experiments; computational hydraulics.",
CEE 4210,Hydrology,3,"Global circulation and the hydrologic cycle, precipitation mechanisms and analysis, evaporation and other losses, streamflow, hydrographs, river and reservoir routing, and frequency analysis.",
CEE 4211,Water Resources Systems,3,"Components and services of water resources systems; and planning and management approaches in the face of climatic, environmental, and socio-economic change.",
CEE 4225,Introduction to Coastal Engineering,3,"Introduction to coastal engineering processes and problems. Topics include: water wave mechanics, nearshore hydrodynamics, astronomical tides, sediment transport, beach nourishment, and coastal structures.",
CEE 4300,Environmental Engineering Systems,3,"Environmental engineering issues associated with water, air, and land pollution, including risk assessment, groundwater contamination, global climate change, and sustainable technologies.",
CEE 4310,Water Quality Engineering,3,"Reclamation of water and wastewater for potable and industrial uses, groundwater remediation. Principles of physical, chemical, and biological treatment processes.",
CEE 4320,Hazardous Substance Engineering,3,"Technical aspects of hazardous waste management and treatment including legislation, exposure and risk assessment, contaminant fate and transport, waste treatment methods, and remediation technologies.",
CEE 4330,Air Pollution Engineering,3,"Introduction to the physical and chemical processes affecting the dynamics and fate of air pollutants at the local, regional, and global scales.  Particular emphasis is on tropospheric pollutant chemistry and transport.",
CEE 4340,Environmental Modeling and Health Risk Analysis,3,"This course provides an introduction to modeling techniques used in the environmental health field, with emphasis on three different exposure pathways introduced as the air pathway, groundwater pathway, and surface water pathway.",
CEE 4350,Environmental Technology in the Developing World,3,"Approaches, methods, and practical aspects of employing technologies for improving environmental quality in low and middle income countries. Team project-based course with field component.",
CEE 4360,Energy and Resource Recovery,3,"This is an upper level course to introduce the technical aspects of achieving a more sustainable world by energy and resource recovery. Specifically, this course will cover both renewable energy and solid waste management.",
CEE 4395,Environmental Systems Design Project,3,"Design and assessment of an environmental system, component or process, including problem definition, data acquisition, modeling and analysis, evaluation of alternatives, and presentations.",
CEE 4405,Introduction to Geotechnical Engineering,3,"Introduction to soil as an engineering material, with a focus on the mechanics of soil strength and compressibility, and fluid flow through soils.",
CEE 4406,Applied Geotechnics,3,"Geotechnical principles applied to civil engineering construction, including evaluation of soil and rock properties, shallow foundations, drive and bored pilings, liquefaction, and ground modification.  Credit not allowed for both CEE 4406 and",Credit restriction: CEE 4406 and; CEE 4406 and
CEE 4420,Subsurface Characterization,3,"Introduction to field and laboratory methods for characterizing subsurface geological, hydrological, geotechnical, and contaminant conditions.",
CEE 4430,Environmental Geotechnics,3,"Chemical equilibria and partitioning in subsurface systems; hazardous waste site assessment technologies and data; including soil gas data, monitoring wells, and direct-push technology.",
CEE 4450,Introduction to Petroleum Geomechanics,3,Introduction to the basic concepts of geomechanics and their engineering applications with a focus on the petroleum - and energy - related applications.,
CEE 4460,International Disaster Reconnaissance,3,"Reviews consequence of and response to foreign disasters in light of technical, cultural and political factors; disasters include earthquakes, floods, hurricanes/typhoons, and man-made infrastructure failures.",
CEE 4510,Structural Steel Design,3,"Principles of behavior of tension and compression members, beams, and connections with application to the design of elementary structures.",
CEE 4520,Reinforced Concrete Design,3,"Principles of behavior of reinforced concrete beams, short columns, and slabs, with application to the design of elementary concrete structures, foundation, and earth- retaining structures.",
CEE 4530,Timber and Masonry Design,3,"Stress-based design of tension, compression, and flexural members; design of building systems, unreinforced and reinforced walls using timber and masonry construction materials and techniques.",
CEE 4540,Infrastructure Rehabilitation,3,"Rehabilitation of civil infrastructure systems including aspects of deterioration science, nondestructive assessment, renewal engineering, construction planning and management, and public policy and finance.",
CEE 4550,Structural Analysis II,3,"Analysis of two- and three-dimensional statically indeterminate structures by classical and matrix methods of solution. Flexibility and stiffness techniques, influence lines, approximate analysis, and nonlinear analysis.",
CEE 4551,Historic Structures,3,Course examines some of the world’s great structures from an engineering and structural art perspective while integrating architecture and history-based concepts.,
CEE 4552,Introduction to Finite Element Methods,3,"Introduction to Finite Element Methods in Civil Engineering. Formulation of FE numerical methods for solving engineering problems applied to trusses, frames and 2D continuum problems.",
CEE 4560,Origami Engineering,3,"This class acquaints the student with the state-of-art concepts and algorithms to design and analyze origami structures, assemblages, and tessellations.",
CEE 4600,"Transportation Planning, Operations, and Design",3,"Introduction to transportation engineering with specific emphasis on the planning, design, and operation of transportation facilities.",
CEE 4610,"Multimodal Transportation Planning, Design, and Operations",3,"Planning, design, and operation of systems of air, rail, water, and highway facilities, including those for bicycles and pedestrians.",
CEE 4620,Environmental Impact Assessment,3,"Key policy, planning, and methodological issues in the environmental impact assessment of engineering systems including the regulatory framework and analytical techniques.",
CEE 4640,Freeway and Interchange Planning and Design,3,"An introduction to the planning and design of freeways and interchanges.  Topics include various interchange forms, HOV lanes, ramp metering, tolling, and truck by-pass ramps.",
CEE 4650,Site Development Planning and Design in Transportation,3,"An introduction to the planning and design of site developments.  Topics include site traffic analysis and driveway, parking lot, drive-thru facility, site circulation, delivery facility and residential neighborhood design.",
CEE 4660,Sustainable Transportation Abroad,3,"Planning, design, and operations of transportation systems in countries with sustainable multimodal infrastructure; applying lessons learned to US; leadership development in context of sustainable technologies.",
CEE 4670,Introduction to Transportation and Public Health,3,Examines the linkage between transportation and human health in both a population and occupational sense. Explores how public and private decision making and the engineering design of transportation systems influences public health.,
CEE 4791,Mechanical Behavior of Composites,3,"Stress-strain behavior of composites, property of matrix and reinforcing materials, mechanics of fiber-reinforced composites, lamina and laminate analysis, and mechanical performance. Crosslisted with AE, CHE, ME, MSE, and PTFE 4791.","AE, CHE, ME, MSE, and PTFE 4791"
CEE 4793,Composite Materials and Processes,3,"Basic principles of selection and design of composite materials and their manufacturing and testing. Cost factors. Laboratory exercises on manufacturing and tests. Crosslisted with AE, CHE, ME, MSE, and PTFE 4793.","AE, CHE, ME, MSE, and PTFE 4793"
CEE 4794,Composite Materials and Manufacturing,4,"Basic principles of selection and design of composite materials and their manufacturing and testing. Cost factors. Laboratory exercises on manufacturing and tests. Crosslisted with AE, CHE, ME, MSE, and PTFE 4794.","AE, CHE, ME, MSE, and PTFE 4794"
CEE 4795,Groundwater Hydrology,3,"Dynamics of flow and solute transport in groundwater, including theory, implementation, and case studies. Crosslisted with EAS 4795 .",EAS 4795
CEE 4801,Special Topics,1,,
CEE 4802,Special Topics,2,,
CEE 4803,Special Topics,3,,
CEE 4804,Special Topics,4,,
CEE 4805,Special Topics,5,,
CEE 4806,Special Topics,6,,
CEE 6100,Construction Project Planning,3,"Introduction to project planning concepts including organization development, computer-based scheduling, computer-based estimating, regulatory agencies, and project financing.",Graduate standing required
CEE 6110,Computer Applications in Construction,3,Introduction to computing tools impacting the construction industry and the analysis techniques used to determine company automation requirements.,Graduate standing required
CEE 6125,Construction Industry Best Practices,3,"Front End Planning, Risk Assessment and Dispute Prevention, Constructability, Advanced Work Packaging, Planning for Startup, Change and Material managements, Alignment, Modularization, Quality Control, Zero Accident Techniques.",Graduate standing required
CEE 6130,Construction Project Controls,3,"Introduction to project control concepts and advanced implementation techniques.  Project control concerns including project budgeting, project productivity, cash flow, and resource allocation will be introduced.",Graduate standing required
CEE 6140,Advanced Planning and Estimating Methods,3,"Overview of advanced methods for planning and estimating construction projects including resource allocation/management, project control techniques, interpretation of schedules and estimates, and value engineering.",Graduate standing required
CEE 6150,Construction Law,3,Overview of construction law and legal issues encountered by the construction engineer and manager.,Graduate standing required
CEE 6160,Safety Engineering,3,"Application of pro-active safety engineering approaches including theories of accident causation, human error classification, prevention through design, safety knowledge transfer and safety leading indicators.",Graduate standing required
CEE 6170,Project Delivery and Procurement,3,"Analysis of construction project delivery including traditional, design-build, construction management, multiple prime contractors, and related financing. The course focuses on the owner's role in construction.",Graduate standing required
CEE 6185,Automation in Construction,3,"Introduction to construction automation, robotics, AI, sensing, and 3D visualization. An integrated approach to design and assess new automated construction technologies using needs assessment, AHP, and economic feasibility analyses.",Graduate standing required
CEE 6190,Construction Field Engineering,3,"Introduction to construction engineering techniques and practices including site excavation, shoring structures, heavy equipment, site layout, and temporary facility construction.",Graduate standing required
CEE 6210,Coastal Mechanics,3,"Introduction to physical and mathematical descriptions of the major coastal processes: including linear wave mechanics, nearshore circulation, and ocean tides.",Graduate standing required
CEE 6215,Coastal Structures,3,"Introduction to coastal structures with a focus on the hydrodynamic loading and the resulting analysis, design and potential failure mechanisms during extreme events.",Graduate standing required
CEE 6221,Physical Hydrology,3,"Occurrence, movement, and distribution of water.  Topics: hydrologic cycle, global circulation, climate, atmospheric water vapor, thermodynamics, precipitation, evaporation, snowmelt, soil moisture, unsaturated flow, infiltration, geomorphology, runoff, and routing.",Graduate standing required
CEE 6222,Hydrometeorology,3,Estimation of hydrologic variables from on-site and remote sensors; operational hydrologic models; parameter estimation; operational forecasting.,Graduate standing required
CEE 6225,Coastal Engineering,3,"Introduction to coastal engineering processes and problems. Topics include: water wave mechanics, nearshore hydrodynamics, astronomical tides, sediment transport, beach nourishment, and coastal structures.",Graduate standing required
CEE 6231,Probability and Statistics for Civil and Environmental,3,Engineers Probability distributions applicable to civil engineering Systems; function of random variables; regression and correlation analysis; parameters estimation and statistical hypothesis tests.,Graduate standing required
CEE 6232,Stochastic Hydrology,3,"Stochastic modeling of hydrologic processes.  Problems of model specifications and parameter identification, and validation.  Application to forecasting and synthetic events.",Graduate standing required
CEE 6241,Water Resources Management I,3,"Operations research methodologies, including linear and nonlinear programming, and their applications to water resources systems.",Graduate standing required
CEE 6242,Water Resources Management II,3,Design of decision support systems for water resources planning and management.,Graduate standing required
