title,description,prerequisites,prereq_text
CS 4641 - Machine Learning,"Machine learning techniques and applications. Topics include foundational issues; inductive, analytical, numerical, and theoretical approaches; and real-world applications. Credit not awarded for both CS 4641 and CS 7641/CSE 6740/ISYE 6740/ECE 4252.","['ISYE 3133', 'ECE 4252', 'CS 4641', 'CS 1332', 'MATH 1554', 'CSE 6740', 'MATH 1551', 'MATH 1564', 'MATH 1553', 'ISYE 6740', 'CS 7641']",(CS 1332 or ISYE 3133 ) and (MATH 1553 or MATH 1X53 or MATH 1554 or MATH 1X54 or MATH 1564 ) and (MATH 1551 or MATH 1X51 )
CS 4644 - Deep Learning,"This course will cover the fundamental underpinnings and practice of deep learning, including neural network architectures, optimization algorithms, and applications to perception and Artificial Intelligence.","['CS 3511', 'MATH 2550', 'CS 2261', 'CS 3510', 'MATH 2605', 'CS 2110', 'MATH 2551', 'MATH 2561', 'MATH 2401', 'MATH 2411']",(MATH 2605 or MATH 2401 or MATH 24X1 or MATH 2411 or MATH 2550 or MATH 2551 or MATH 2561 or MATH 2X51 ) and (CS 2110 or CS 2261 ) and (CS 3510 or CS 3511 )
CS 4646 - Mach Learn for Trading,This course introduces students to the real world challenges of implementing machine learning based strategies including the algorithmic steps from information gathering to market orders.Credit not awarded for both CS 4646 and CS 7646.,"['CS 4646', 'CS 3600', 'CS 7646']",CS 3600
CS 4649 - Robot Intelli Planning,"We investigate algorithms for robots and complex systems that make intelligent decisions.  Emphasis on the theoretical and empirical properties of classical, geometric, stochastic/dynamic planning.",['CS 1332'],CS 1332
CS 4650 - Natural Language,"Methodologies for designing systems that comprehend natural language. Topics include lexical analysis, parsing, interpretation of sentences, semantic representation, organization of knowledge, and inference mechanisms.  Credit not allowed for both CS 4650 and CS 7650.","['CS 3511', 'MATH 2550', 'CS 4650', 'CS 3510', 'CS 7650', 'MATH 2551', 'MATH 2561', 'MATH 2401']",(CS 3510 or CS 3511 ) and (MATH 2550 or MATH 2551 or MATH 2561 or MATH 2401 or MATH 24X1 or MATH 2X51 )
CS 4660 - Educational Technology,"Introduction to the theory and practice of educational technology. Covers learning theory applicable to educational technology, explains major research findings. Credit not awarded for both CS 4660 and CS 6460.","['CS 6460', 'CS 4660']",
CS 4665 - Educ Tech: Dsgn & Eval,"Intensive project class in which students design, implement, and evaluate a piece of educational technology, applying the theory learned in Introduction  to Educational Technology.",['CS 4660'],CS 4660
CS 4670 - CSCL,"Research and practice in computer-supported collaborative learning. Review of existing systems and research, as well as evaluation and design methods.",['CS 4660'],CS 4660
CS 4675 - Internet Sys & Services,"Focusing on fundamental issues, concepts, techniques, and technical challenges that are critical for designing and developing Internet systems, services and applications.  Credit not allowed for both CS 4675 and CS 6675.","['CS 4675', 'ECE 3057', 'ECE 3058', 'CS 6675', 'CS 2200']",CS 2200 or ECE 3057 or ECE 3058
CS 4685 - Pervasive Sys Networking,In-depth study of systems and wireless networking issues in enabling pervasive computing environments and applications using a hand-on approach.,['CS 2200'],CS 2200
CS 4690 - Empirical Methods in HCI,Introduction to empirical methods for gathering requirements and evaluating the end-user and usability of software systems.,"['CS 3750', 'PSYC 3750']",CS 3750 or PSYC 3750
CS 4710 - CS for Bioinformatics,Introduction to programming concepts and computing tools such as formal models and algorithms with applications from conceptual biology.  May not be used by computer science majors for degree credit.,[],
CS 4723 - Inter Capstone Design,"Entrepreneurial Junior Design. Teams comprised of CS, ECE, and ME students will design and build prototypes of their invention ideas and explore market fit.","['SLS 3110', 'CS 4001', 'CS 3001', 'CS 4002', 'CS 4003', 'CS 2340', 'CS 4726']",CS 2340 and (CS 3001 or CS 4001 or CS 4002 or CS 4003 or CS 4726 or SLS 3110 )
CS 4725 - Info Security Policies,"Information security vulnerabilities and risks; legal, cost, privacy, and technology constraints; derivation of strategies; technical and procedural means of achieving desired results. Credit will not be awarded for both CS 4725 and CS 6725 or MGT 4725 or MGT 6725 or PUBP 4725.","['CS 6725', 'CS 4725', 'MGT 6725', 'MGT 4725', 'PUBP 4725']",
CS 4726 - Privacy Tech Policy Law,"This course takes a multi-disciplinary approach to privacy, a topic of great interest in the technology, policy, ethics, law, and business realms. Credit will not be awarded for both CS 4726 and MGT 4726 or MGT 6726 or CS 6726.","['MGT 4726', 'CS 6726', 'CS 4726', 'MGT 6726']",
CS 4731 - Game AI,"Examines the expressive possibilities of artificial intelligence techniques in computer games. Students learn AI programming techniques, and how they strongly interface with game design.",['CS 3600'],CS 3600
CS 4741 - Int Mgt Dev - Proj Prep,Individual and group-based experiential learning activities to develop integrated human system management skills that prepare students for more successful capstone collaboration and learning.  Credit not allowed for both CS 4741 and MGT 4741 or ME 4741.,"['ME 4741', 'MGT 4741', 'CS 4741']",
CS 4742 - Comp & Mgt Cap Proj,Project-based course for students in Computing and Management minor to work in interdisciplinary teams on projects provided by corporate affiliates.  Credit not allowed for both CS 4742 and MGT 4742 or ME 4742.,"['CS 4741', 'CS 4742', 'ME 4742', 'MGT 4742']",CS 4741
CS 4745 - Info&Com Tech&Global Dev,"Focus on technology design, adoption, and use as seen through the lens of global development.",[],
CS 4752 - Phil Issues-Computation,"Metaphysical and epistemological issues in the foundations, methods, and implications of computing. Issues include: minds, brains, and machines; representation and language; simulating nature. Crosslisted with PST 4752.",['PST 4752'],
CS 4770 - Mixed Reality Design,"Focuses on informal design, integration of  media theory, HCI and technology issues. Significant group design projects. Credit not awarded for both CS 4770 and LMC 4733/6340/CS 6770.","['CS 4770', 'LMC 4733', 'LCC 2700', 'CS 6770', 'CS 2340']",CS 2340 and LCC 2700
CS 4791 - Integrative Proj-Cog Sci,"An integrative course in cognitive science focusing on the integration and use of concepts and skills from cognitive science.  A different integrative project or set of projects will be taken on each semester; students will contribute on the basis of their background and skill.  Crosslisted with PST, PSYC, and ISYE 4791.",['ISYE 4791'],
CS 4792 - Dsgn Proj-Cognitive Sci,"Individual project with a cognitive science faculty member, designed as a supplement to the student's senior design project or thesis in their major area.  Crosslisted with PST, PSYC, and ISYE 4792.",['ISYE 4792'],
CS 4793 - Perspectives-Cog Science,An integrative course in cognitive science which uses a focus topic to deepen interdisciplinary perspective and develop cognitive science knowledge and skills.,"['CS 3790', 'ISYE 3790', 'PSYC 3790', 'PST 3790']",CS 3790 or PST 3790 or PSYC 3790 or ISYE 3790
CS 4795 - GPU Prog for Video Games,3-D graphics pipelines. Physically-based rendering. Game engine architectures. GPU architectures. Graphics APIs. Vertex and pixel shader programming. Post-processing effects. Deferred rendering.,"['ECE 2036', 'CS 2110', 'ECE 2035', 'CS 2261']",ECE 2035 or ECE 2036 or CS 2110 or CS 2261
CS 4801 - Special Topics,"Courses of timely interest to the profession, conducted by resident or visiting faculty.",[],
CS 4802 - Special Topics,"Courses of timely interest to the profession, conducted by resident or visiting faculty.",[],
CS 4803 - Special Topics,"Courses of timely interest to the profession, conducted by resident or visiting faculty.",[],
CS 4804 - Special Topics,"Courses of timely interest to the profession, conducted by resident or visiting faculty.",[],
CS 4805 - Special Topics,"Courses of timely interest to the profession, conducted by resident or visiting faculty.",[],
CS 4816 - Special Topics,Special Topics,[],
CS 4851 - Special Topics,Special Topics in CS - Lab,[],
CS 4853 - Special Topics,Special Topics in CS (lecture and supervised lab),[],
CS 4854 - Special Topics,,[],
CS 4863 - Special Topics,Special Topics,[],
CS 4873 - Special Topics,,[],
CS 4883 - Special Topics,,[],
CS 4893 - Special Topics,Special Topics for CS (lecture + lab).,[],
CS 4912 - Design Capstone Project,Team-based capstone experience allowing students to analyze a problem for a customer and manage the solution development through the full project life cycle.,['CS 2340'],CS 2340
CS 6010 - Principles of Design,This is an interactive hands-on course that will teach students the principles of design at the individual level.,[],
CS 6035 - Intro To Info Security,"A broad spectrum of information security: threats, basic cryptography, software vulnerabilities, programming for malice, operating system protections, network security, privacy, data mining, computer crime.",['CS 2200'],CS 2200
CS 6150 - Computing For Good,Exploring challenges faced by underserved populations and developing countries from a computing perspective.,[],
CS 6200 - Graduate Intro to OS,"This course teaches operating system abstractions, mechanisms, and their implementations, including for concurrency (threads) and synchronization, resource management (CPU, memory, I/O), and distributed services.",[],
CS 6210 - Adv Operating Systems,"Introduction to graduate-level topics in operating systems using research papers, textbook excerpts, and projects. Provides students thorough comprehension of distributed and parallel computer systems. Credit is not awarded for both CS 4210 and CS 6210.","['CS 3210', 'CS 4210', 'CS 6210']",CS 3210
CS 6211 - Sys Design Cloud Comput,"Through in-depth presentations and hands-on projects for each layer of the full stack of cloud technologies, learners acquire the systems design skills for cloud computing",[],
CS 6220 - Big Data Sys & Analytics,"This course will cover the concepts, techniques, algorithms, and systems of big data systems and data analytics, with strong emphasis on big data processing systems, fundamental models and optimizations for data analytics and machine learning, which are widely deployed in real world big data analytics and applications.",['CS 4400'],CS 4400
CS 6230 - High Perf Parallel Comp,"Introduction to MIMD parallel computation, using textbook excerpts, research papers, and projects on multiple parallel machines.  Emphasizes practical issues in high-performance computing.",['CS 3210'],CS 3210
CS 6235 - Real-Time Systems,"Principles of real-time systems, as occurring in robotics and manufacturing, interactive, and multimedia applications. Reviews and uses real-time operating systems.Credit not awarded for both CS 6235 and CS 4220.","['CS 3210', 'CS 6235', 'CS 4220']",CS 3210
CS 6238 - Secure Computer Systems,"Design principles of secure systems, authentication, access control and authorization, discretionary and mandatory security policies, secure kernel design, and secure databases.","['CS 3210', 'CS 4235']",CS 3210 and CS 4235
CS 6239 - Enterprise Cyber Mgt,"The duties and concerns of an enterprise Chief Information Security Officer including strategy, cybersecurity operations, risk management, and governance.",[],
CS 6241 - Compiler Design,"Design and implementation of modern compilers, focusing upon optimization and code generation.",['CS 4240'],CS 4240
CS 6245 - Parallelizing Compilers,"Design and implementation of compilers for parallel and distributed computers, focusing upon optimization and code generation.",['CS 4240'],CS 4240
CS 6246 - Object-Oriented Systems,"Design and implementation of object-oriented systems.  Aspect-oriented programming, type systems, OO language implementation (virtual dispatch, GC), OO language design (genericity, reflection, mixins).",['CS 2340'],CS 2340
CS 6250 - Computer Networks,"Principles and practice of computer networks, including signaling and framing, error control, medium access, routing, congestion control, end-to-end transport, and network APIs.",[],
CS 6255 - Network Management,"Focus on network, system, and applications management. Principles and practice of various network management standards will be presented.  Course includes project assignment.",['CS 6250'],CS 6250
CS 6260 - Applied Cryptography,"Cryptographic algorithms, cryptanalysis, symmetric cryptography, public key cryptography, DES, AES, RSA, hash and MAC functions, digital signatures, pseudo-random generators, cryptographic protocols, SSL//TLS, SET. Credit not allowed for both CS 6260 and ECE 6280.","['CS 4235', 'CS 6260', 'ECE 6280']",CS 4235
CS 6261 - Cyber Incident Response,The course covers the principles and technologies utilized in and the processes followed in responding to cybersecurity incidents and crises. The course utilizes real-life case studies to develop how these technologies and processes are applied within the cybersecurity industry.,[],
CS 6262 - Network Security,"Design principles of secure network protocols and systems, authentication, integrity, confidentiality, privacy, information hiding, digital watermarking, access control, firewall, intrusion detection, and case studies.","['CS 4251', 'CS 4235']",CS 4235 and CS 4251
CS 6263 - Intro Cyber Phys Sys Sec,This course provides an introduction to security issues relating to various cyber-physical systems including industrial control systems and those considered critical infrastructure systems.,[],
CS 6264 - Infosec Labs: Defenses,"This course will help students develop both in-depth knowledge and hands-on skills in a number of important cybersecurity areas, including software security, malware and threat analysis, end-point security, network security, web security, mobile security, and machine learning based security analytics.",[],
CS 6265 - Info Sec Lab Binexp,"This course covers advanced techniques for writing exploits, taught","['CS 6262', 'CS 6238']",CS 6238 and CS 6262
CS 6266 - Info Security Practicum,"Capstone independent study placing each student in a commercial, industrial, academic, or government setting where they must solve real-world security problems.","['CS 6262', 'CS 6260', 'CS 6238']",CS 6238 and CS 6260 and CS 6262
CS 6267 - Critical Infrastructures,Critical infrastructures are large cyber-physical networks essential to the well-being of the societies they serve. We study their resilience and security against a range of disruptions.,[],
CS 6268 - Psychol of Cybersecurity,This course will explore psychological processes relevant to cybersecurity. Students will gain an appreciation for psychological influence factors inherent in the current cyberspace environment.,[],
CS 6269 - Formal Info Assur Model,"Logical foundations of high-assurance systems, formal models for access control, authentication, and trust; techniques for constructing high-assurance systems.","['CS 3500', 'CS 4235']",CS 3500 and CS 4235
CS 6280 - Eval Communication Nets,"Methods for evaluating the performance of communication networks with emphasis on modeling, mathematical analysis, computer simulation, and measurement.","['CS 6250', 'MATH 3225', 'MATH 3215']",(MATH 3215 or MATH 3225 ) and CS 6250
CS 6290 - High Perform Comput Arch,"Topics concerning very high-performance computers including techniques exploiting parallelism in single and multiple processor systems.  Credit not allowed for both CS 6290 and any of the following courses: CS 4290, ECE 4100, ECE 6100.","['CS 6290', 'CS 4290', 'ECE 4100', 'CS 2200', 'ECE 6100']",CS 2200
CS 6291 - Embedded Software Opt.,"First, this course introduces the student to embedded domain-specific processor and instruction set design issues.  Next, machine-specific optimizations for performance and for energy consumption are discussed.",['CS 4290'],CS 4290
CS 6300 - Software Dev Process,"The process of developing software systems. Includes development and assessment of processes, their instantiation in actual product development, and techniques ensuring quality of developed products.",[],
CS 6301 - Adv Software Engineering,"This project-based course will cover fundamental principles, advanced techniques, and tools for the development of high-quality, industrial-strength software.",[],
CS 6310 - Software Arch & Design,Principles and concepts involved in the design and analysis of large software systems.,['CS 6300'],CS 6300
CS 6320 - Requirements Analysis,"Methods and principles for determining, documenting, analyzing, and formally specifying requirements for software systems.",['CS 6300'],CS 6300
CS 6330 - Software Generation&Test,"Introduction to methods and principles for programming, testing, and managing the evolution of software systems.",['CS 6300'],CS 6300
CS 6340 - Software Analysis & Test,"Fundamental prinicples and advanced techniques for static and dynamic program analysis and software testing. Software reliability, resilience, and trustworthiness.",[],
CS 6365 - Intro Enterprise Comput.,"Survey of basic software concepts and techniques used in mission-critical systems and applications, combined with in-depth study of fundamental principles underlying enterprise computing.  Credit not allowed for both CS 6365 and CS 4365.","['CS 3210', 'CS 6365', 'CS 4400', 'CS 4365']",CS 3210 or CS 4400
CS 6390 - Programming Languages,"Design, structure, and goals of programming languages. Object-oriented, logic, functional, and traditional languages.  Semantic models.   Parallel programming languages.",[],
CS 6400 - DB Sys Concepts& Design,"Study of fundamental concepts with regard to relational databases. Topics covered include database design, query processing, concurrency control, and recovery. Credit not given for both CS 6400 and CS 6754.","['CS 6754', 'CS 4400', 'CS 6400']",CS 4400
CS 6402 - Databases and Infosec,"Fundamentals of designing and using databases:  conceptual data models to database-specific models, SQL, storage structures.  Security-related topics include privacy, access control, backup, recovery, SQL injection.  Credit not allowed for both CS 6402 and CS 4400.","['CS 6402', 'CS 4400']",
CS 6411 - O-O Database Model & Sys,"Study of advanced database concepts as they apply to object-oriented database systems.  Topics include semantic data models, object-oriented query languages, tools, and applications.",['CS 6400'],CS 6400
"CS 6421 - Tempor,Spatial&Active DB","Study of advanced database concepts for temporal databases with emphasis on storage structure, processing and query languages, as well as active database concepts and implementation.",['CS 6400'],CS 6400
CS 6422 - Database System Implemnt,"Design and implementatuion of a databse system covering: storage manager, query optimizer, transaction manager, and recovery manager.  Study of the advantages of different implementation algorithms.  Credit not allowed for both CS 6422 and CS 4420.","['CS 4400', 'CS 4420', 'CS 6422']",CS 4400
CS 6423 - Adv Database Systems,"Study of advanced topics in implementing a database system, including the query optimizer, concurrency control and recovery protocols. Includes a project component.",[],
CS 6430 - Parallel&Distributed DB,"Study of algorithms and performance in advanced databases. Systems include parallel, distributed, and client-server databases. Applications include data mining and on-line analytical processing.","['CS 4420', 'CS 6400']",CS 4420 or CS 6400
CS 6435 - Digital Health Equity,"This course introduces individual, interpersonal, and societal influences on health; how these create health disparities, and how digital health technologies can help achieve health equity.",[],
CS 6440 - Intro Health Informatics,"A broad review of the US health system and the application of informatics to the clinical practice of medicine, digital imaging, public health and bioinformatics.",[],
CS 6441 - Personal Health Inform,This course will cover the design of personal health technologies. Students will apply the taught design issues to a semester-long,[],
CS 6451 - Human-Centered Computing,"Introduction to the range of issues across the HCC disciplines, including design and research methodologies: cognitive, social, and cultural theories; assessment and evaluation: ethical issues.",[],
CS 6452 - Prototyping Interact Sys,"Introduction to design, prototyping and implementation of systems for human-centered computing. Focuses on core concepts in computer science and implications for interactive systems.",['CS 4452'],CS 4452
CS 6454 - Qualitative Methods HCI,"Qualitative methods for HCI including data collection through interviews, observations and design, analysis using research and industry standards, and methods for communicating findings to industry.",[],
CS 6455 - User Interface Dsgn&Eval,"Examines usability in the software development process with an emphasis on usability, requirements, methodology, design, and evaluation.","['PSYC 6750', 'CS 6750']",CS 6750 or PSYC 6750
CS 6456 - Principles-UI Software,Considers the architectural and algorithmic principles behind the implementation of interactive software systems and the tools that support them. Credit not awarded for CS 6456 and CS 4470.,"['PSYC 6750', 'CS 6456', 'CS 6750', 'CS 4470']",CS 6750 or PSYC 6750
CS 6457 - Video Game Design,"Techniques for electronic game design and programming, including graphics, game engines, animation, behavioral control for autonomous characters, interaction, social and interface issues of multi-user play.  Credit not allowed for both CS 6457 and CS 4455.","['CS 6457', 'CS 4455']",
CS 6460 - Educ Tech-Foundations,"Introduction to educational technology, with an emphasis on theoretical foundations.  Introduces basic philosophies, approaches, and technologies.  Analyzes issues surrounding technology's impact on education. Credit not awarded for both CS 4660 and CS 6460.","['CS 6460', 'CS 4660']",
CS 6461 - Computing Ed Research,Introduction to computing education research (CER). History and influential early work. Learning goals for different populations. Design of research studies in CER.,[],
CS 6465 - Computational Journalism,"Technology is rapidly affecting how news information is gathered, reported, visualized, aggregated, summarized, distributed, and consumed.  This class studies the computational technologies that impact journalism.  Credit not allowed for both CS 6455 and CS 4464.","['CS 4464', 'CS 6455']",
CS 6470 - Online Communities,"Introduction to the design of online communities. Students study an existing community in depth, and then develop a new community design.  Credit not allowed for both CS 6470 and CS 4472.","['CS 6470', 'CS 4472']",
CS 6471 - Comp Social Science,"This graduate seminar focuses on text and network analysis of data with applications to domains such as political science, sociolinguistics, and public health.",[],
CS 6474 - Social Computing,"Design and prototype new social computing systems, as well as analyze social media data.",[],
CS 6475 - Comp. Photography,"This class explores the impact of computation on the entire workflow of photography, from how light is captured by a camera, to how the images are processed, enhanced, and improved to generate novel photographs.",[],
CS 6476 - Computer Vision,"Introduction to computer vision including fundamentals of image formation, camera imaging geometry, feature detection and matching, stereo, motion estimation and tracking, image classification and scene understanding. Credit not awarded for both CS 6476 and CS 4495 or CS 4476.","['CS 6476', 'CS 4495', 'CS 4476']",
CS 6480 - Comp Visualiz Techniques,"Principles, techniques, and practice in data, information, multivariate, and scientific visualization. Includes visualization methods, data structures, examples, and tools.",['CS 4451'],CS 4451
CS 6485 - Visual Meth-Sci & Engr,"Algorithms, software, and practical applications of visualization techniques in science, engineering, business, and medicine. Includes data structures, multivariate visualization, interactive visualization, and visual representations and examples. Computer science students cannot receive credit for this course.",[],
CS 6491 - Computer Graphics,"Mathematical/physical/perceptual principles and modeling/rendering techniques used to create, represent, display, and animate models of 3D shapes and their properties.",['CS 4451'],CS 4451
CS 6492 - Shape Grammars,Shape grammars are production systems using shape rewriting rules to perform computations with shapes.,[],
CS 6497 - Comp Aesthetics,"Aesthetics play a key role in society and economy. Students will invent and test beautification algorithms for colors, music, and animations and more.",['CS 6491'],CS 6491
CS 6505 - Computability&Algorithms,"Important concepts from computability theory; techniques for designing algorithms for combinatorial, algebraic, and number-theoretic problems; basic concepts such as NP-Completeness from computational complexity theory. Credit not awarded for both CS 6505 and CS 4540/6515.","['CS 6505', 'CS 3510', 'CS 4540']",CS 3510
CS 6515 - Intro to Grad Algorithms,"Design and analysis of algorithms on a graduate level, including dynamic programming, divide and conquer, FFT, graph and flow algorithms, RSA, linear programming, and NP-completedness.",[],
CS 6520 - Computational Complexity,"Introduction to resource-bounded computations, central complexity-theoretic concepts such as complexity classes, reducibility, completeness, and intractability.",['CS 3500'],CS 3500
CS 6550 - Design& Analy-Algorithms,"Advanced techniques for designing and analyzing efficient algorithms for combinatorial, algebraic, and number-theoretic problems.",[],
CS 6601 - Artificial Intelligence,Basic concepts and methods of artificial intelligence including both symbolic/conceptual and numerical/probabilistic techniques.,['CS 2600'],CS 2600
CS 6603 - AI Ethics Society,This course covers various Artificial Intelligence and bias mitigation techniques that can be used to counterbalance the potential misuse and abuse of learning from data.,[],
CS 6641 - Personal Health Inform,This course will cover the design of personal health technologies. Students will apply the taught design issues to a semester-long,[],
CS 6670 - Distrib Cntrl Algorithms,"Algorithms for synchronous, asynchronous, and partially synchronous networks; analysis, control, and implementation of distributed systems such as robot fleets, animal groups.",['CS 4600'],CS 4600
CS 6675 - Advance Internet Comput,"Survey of basic Internet computing concepts and techniques used in Internet systems and applications, combined with in-depth study of fundamental principles underlying Internet computing.  Credit not allowed for both CS 6675 and CS 4675.","['CS 3210', 'CS 6675', 'CS 4499', 'CS 4675']",CS 3210 or CS 4499
CS 6705 - Applications of AI,"A study of the principles and practice of artificial intelligence in areas other than computer science, with particular focus on engineering, science, and business applications. Computer science majors cannot receive credit for this course.",[],
CS 6725 - Info Security Policies,"Information security vulnerabilities and risks; legal, cost, privacy, and technology constraints; derivation of strategies; technical and procedural means of achieving desired ends. Credit not awarded for both CS 6725 and CS 4725/MGT 4725/6725/PUBP 4725/6725.","['CS 6725', 'CS 4725', 'MGT 4725', 'PUBP 4725', 'CS 4235']",CS 4235
CS 6726 - Privacy Tech Policy Law,"This course takes a multi-disciplinary approach to privacy, a topic of great interest in the technology, policy, ethics, law, and business realms. Credit will not be awarded for both CS 6726 and CS 4726 or MGT 4726 or MGT 6726.","['MGT 4726', 'CS 6726', 'CS 4726', 'MGT 6726']",
CS 6727 - Cyber Sec Practicum,"Capstone independent study project placing each student in a commercial, academic or government setting where he or she identifies a major cyber security problem, and explores and evaluates a solution that addresses it with realistic assumptions about the organizational context. The chose problem must be approved by course instructor. Cross-listed with ECE and PUBP 6727.","['CS 6035', 'PUBP 6725', 'PUBP 6727', 'CS 6725']",CS 6035 and (PUBP 6725 or CS 6725 )
CS 6730 - Data Vis Principles,Introductory course on design principles and applications of data visualization. This course teaches best practices for visualizing datasets from diverse domains intended to help people make sense of data. Students cannot receive credit for both CS 6730 and CS 4460.,"['CS 6730', 'CS 4460']",
CS 6745 - Info&Com Tech&Global Dev,"Focus on technology design, adoption, and use as seen through the lens of global development.",[],
CS 6747 - ADV Malware Analysis,This course covers advanced approaches for the analysis of malicious software and explores recent research and unsolved problems in software protection and forensics.,[],
CS 6750 - Human-Computer Interact,Describes the characteristics of interaction between humans and computers and demonstrates techniques for the evaluation of user-centered systems. Crosslisted with PSYC 6750.,['PSYC 6750'],
CS 6753 - HCI Prof Prep & Practice,"Preparation for a professional career in HCI. Hands-on workshops in resume and portfolio building, interviewing, public speaking, team work. HCI career choices and trajectories.",[],
CS 6754 - Engr Database Mgt System,"Modeling and managing engineering information systems, integration of design and manufacturing functions in engineering product development, logical models of engineering product and processes. Credit not given for CS 6400 and CS 6754.  Crosslisted with ME  6754.","['CS 6754', 'ME 6754', 'CS 6400']",
CS 6755 - HCI Foundations,Describes the theory and practice of designing effective and efficient interactions between people and technology. Students do not receive credit for both CS 6755 and PSYC 6755.,"['PSYC 6755', 'CS 6755']",
CS 6756 - HCI Applications,This course supports MS-HCI students in a semester-long team project that is research-focused and results in portfolio-ready artifacts.,[],
CS 6763 - Design of Environments,Analysis of design processes; analysis of current design tools at both the user interface and functional levels; procedures for developing better design tools. Credit not allowed for both CS 6763 and ID 6763 or COA 6763.,"['COA 6763', 'CS 6763', 'ID 6763']",
CS 6764 - Geometric Modeling,Software development course focusing on 3D geometric constructions and modeling; emphasizes solid modeling and its role in design. Crosslisted with COA 6764.,['COA 6764'],
CS 6770 - Mixed Reality Design,"Introduction to the design of Mixed Reality experiences. Focuses on informal design, integration of media theory, HCI and technology issues. Significant group design projects.Credit not awarded for both CS 6770 and CS 4770/LMC 4733/6340.","['LMC 4733', 'CS 6770', 'CS 4770']",
CS 6780 - Medical Image Processing,"A study of methods for enhancing, analyzing, interpreting, and visualizing information from two- and three-dimensional data obtained from a variety of medical image modalities. Crosslisted with ECE and BMED 6780.","['ECE 6786', 'BMED 6786', 'BMED 6780']",ECE 6786 or BMED 6786
CS 6795 - Intro-Cognitive Science,"Multidisciplinary perspectives on cognitive science. Interdisciplinary approaches to issues in cognition, including memory, language, problem solving, learning, perception, and action. Crosslisted with ISYE and PSYC 6795.",['PSYC 6795'],
CS 7001 - Grad Studies-Computing,"Research tools including computer systems, as well as fundamental problem-solving skills, are introduced. Lectures on current computing research are presented and projects are required. Credit not allowed in a program of study for a graduate degree.",[],
CS 7110 - Parallel Computer Arch,"Issues in the design, implementation, and programming of parallel machines.  Credit not allowed for both CS 7110 and CS 4233.","['CS 6290', 'CS 7110', 'CS 4233']",CS 6290
CS 7210 - Distributed Computing,"Fundamental concepts in distributed systems, including global states, logical clocks, and failure models. Distributed algorithms and their implementations using advanced distributed programming systems.",['CS 6210'],CS 6210
"CS 7230 - Software Dsgn,Impl& Eval","Design, implementation, and evaluation of systems software. Distributed/parallel applications will be constructed and evaluated using the systems support that is developed.","['CS 4240', 'CS 6210']",CS 4240 and CS 6210
CS 7250 - Broadband Networking Sys,"Focus on the data link layer and its relationship to layers below and above.  Gigabit Ethernet, SONTET, fibre channel; media including wireless, satellite, xDSL, cable.",['CS 6250'],CS 6250
CS 7260 - Internet Arch& Protocols,"Detailed discussion of the problems and solution techniques that arise in internetworking. Topics include routing, addressing, quality of service, and security.",['CS 6250'],CS 6250
CS 7270 - Networked Apps&Services,"End-to-end functional building blocks and their use in adaptive and non-adaptive applications, including multimedia: coding, compression, security, directory services.",['CS 6250'],CS 6250
CS 7280 - Network Science,"Characteristics of real networks in nature and technology, network measurement methods, network analysis, evolving networks, dynamic network processes, co-evolution of structure and function.","['CS 3510', 'CS 1331', 'MATH 1564', 'MATH 1554']",MATH 1554 or MATH 1564 and CS 1331 and CS 3510
CS 7292 - Reliable Secure Comparch,"Hardware support for process isolation, virtualization, debugging, and protection from side-channel attacks. Faults and failures, error tolerance, error rate budgeting, lifetime realiability of devices.",['CS 6290'],CS 6290
CS 7400 - Intro Quantum Computing,Provide background on quantum computing and equip students with the skills to write code and optimize quantum programs on real quantum computers.,[],
CS 7450 - Inform Visualization,"Study of computer visualization principles, techniques, and tools used for explaining and understanding symbolic, structured, and/or hierarchical information. Includes data and software visualization.","['PSYC 6750', 'CS 6750']",CS 6750 or PSYC 6750
CS 7451 - Hum- Center Data Analysis,"This course covers the role of people in data science and visual data analysis, including cognitive processes, bias, perception, and decision-making theories and frameworks.",[],
CS 7455 - Issues/Human-Center Comp,"In-depth focus on theoretical, methodological, conceptual, and technical issues across the HCC disciplines associated with humans (cognitive, biological, socio-cultural); design; ethics; and analysis and evaluation.",['CS 6452'],CS 6452
CS 7460 - Collaborative Computing,"Introduction to computer-supported collaborative work, workflow automation, and meeting augmentation. The course deals with models, enabling technology, systems, and applications.",[],
CS 7465 - Edu Tech-Design and Eval,"Intensive project class in which students design, implement, and evaluate a piece of educational technology, applying the theory learned in Educational Technology: Conceptual Foundations.",['CS 6460'],CS 6460
CS 7467 - Comp Collaborative Learn,Computer-supported collaborative learning is the use of Internet-based technologies to support learning in social settings.  Focus on issues of implementation and evaluation.,['CS 6460'],CS 6460
CS 7470 - Ubiquitous Computing,Investigates the infrastructure required to develop mobile and ubiquitous computing applications and establishes major research themes and experimental practices. Credit not awarded for both CS 7470 and CS 4605.,"['CS 7470', 'PSYC 6750', 'CS 4605', 'CS 6750']",CS 6750 or PSYC 6750
CS 7476 - Advanced Computer Vision,"Advanced topics in computer vision, which includes a deep dive into both the theoretical foundations of computer vision to the practical issues of building real systems that use computer vision. Credit will not be awarded for CS 7476 and CS 7495.","['CS 6476', 'CS 7476', 'CS 7495']",CS 6476
