title,description,prerequisites,prereq_text
MATH 6308 - Ordinary Diff Eqns II,"This sequence develops the qualitative theory for systems of differential equations. Topics include stability, Lyapunov functions, Floquet theory, attractors, invariant manifolds, bifurcation theory, and normal forms.  Second of two courses.",['MATH 6307'],MATH 6307
MATH 6321 - Complex Analysis,"Complex integration, including Goursat's theorem; classification of singularities, the argument principle, the maximum principle; Riemann Mapping theorem; analytic continuation and Riemann surfaces; range of an analytic function, including Picard's theorem.","['MATH 4320', 'MATH 4317']",MATH 4317 and MATH 4320
MATH 6337 - Real Analysis I,"Lebesgue measure and integration, differentiation, abstract measure theory. Credit cannot be received for both MATH 6337 and MATH 6579.",[],
MATH 6338 - Real Analysis II,"Continuation of MATH 6337.  L^p and Hilbert spaces, introduction to operator theory and functional analysis.",['MATH 4318'],MATH 4318
MATH 6341 - Partial Diff Eqns I,Introduction to the mathematical theory of partial differential equations covering the basic linear models of science and exact solution techniques.,['MATH 4318'],MATH 4318
MATH 6342 - Partial Diff Eqns II,This course covers the general mathematical theory of linear stationary and evolution problems plus selected topics chosen from the instructor's interests.,['MATH 6341'],MATH 6341
MATH 6421 - Algebraic Geometry I,"The study of zero sets of polynomials: algebraic varieties, regular and rational mappings, the Zariski topology.","['MATH 4107', 'MATH 6121']",MATH 4107 and MATH 6121
MATH 6422 - Algebraic Geometry II,A continuation of Algebraic Geometry I.,['MATH 6421'],MATH 6421
MATH 6441 - Algebraic Topology I,Simplicial homology.  Chain complexes and acyclic carriers. Simplicial approximation.  The exact homology sequence. Maps of spheres. Mayer-Vietoris sequence.,"['MATH 4107', 'MATH 6451', 'MATH 4431']",MATH 4107 and (MATH 4431 or MATH 6451 )
MATH 6442 - Algebraic Topology II,Continuation of MATH 6441. Singular homology.  Local homology and manifolds. CW complexes.  Cohomology. Duality in manifolds.,['MATH 6441'],MATH 6441
MATH 6451 - General Topology,"Introduction to topological and metric spaces. Continuity, compactness, convergence, completion.  Product and quotient spaces.  Elementary homotopy.","['MATH 4431', 'MATH 4317']",MATH 4317 or MATH 4431
MATH 6452 - Differential Topology,Manifolds. Differentiable structures.  Tangent bundles. Embeddings and immersions.  Maps on manifolds. Transversality.  Morse-Sard Theorem. Vector bundles.,"['MATH 6451', 'MATH 4431']",MATH 4431 or MATH 6451
MATH 6453 - Geometric Topology,"Characteristic classes, Morse theory, three-manifolds, four-manifolds, symplectic and contact manifolds, knot theory.","['MATH 6452', 'MATH 6455', 'MATH 6441']",MATH 6441 or MATH 6452 or MATH 6455
MATH 6455 - Differential Geometry I,"Core topics in differential, including: Lie groups, curvature, and relations with topology.",['MATH 4441'],MATH 4441
MATH 6456 - Differential Geometry II,Introduces students to topics of current interest in geometry.,['MATH 6455'],MATH 6455
MATH 6514 - Industrial Math I,"Applied mathematics techniques to solve real-world problems. Topics include mathematical modeling, asymptotic analysis, differential equations and scientific computation.  Prepares the student for MATH 6515.","['MATH 2602', 'MATH 2403', 'MATH 4640']",(MATH 2403 or MATH 2602 ) and MATH 4640
MATH 6579 - Measure Th for Engineers,An introduction to measure theory and Lebesgue integration with a focus on topics that tend to be of the most utility in,[],
MATH 6580 - Hibert Spaces for Sci/Engr,"Structure of linear operators in infinite dimensional spaces, applications.","['MATH 2403', 'MATH 4305', 'MATH 2406']",MATH 2403 and (MATH 2406 or MATH 4305 )
MATH 6583 - Integral Eqns&Transforms,"Volterra and Fredholm linear integral equations; relation to differential equations; solution methods; Fourier, Laplace, and Mellin transforms; applications to boundary value problems and integral equations.","['MATH 2406', 'MATH 2403', 'MATH 4305', 'MATH 6701']",MATH 6701 or (MATH 2406 and MATH 2403 ) or (MATH 2403 and MATH 4305 )
MATH 6584 - Special Functions,"Gamma function; exponential function; orthogonal polynomials; Bessel, Legendre, and hypergeometric functions; application to singular ordinary differential equations; and separation of variables for partial differential equations.",['MATH 4320'],MATH 4320
MATH 6635 - Numerical Meth-Finance,Basic numerical and simulation techniques used in the pricing of derivative securities and in related problems in finance. Some programming experience required.,"['MATH 3215', 'MATH 2403', 'MATH 3225']",MATH 2403 and (MATH 3215 or MATH 3225 )
MATH 6640 - Num Meth-Part Diff Eqns,"Introduction to the implementation and analysis of numerical algorithms for the numerical solution of the classic partial differential equations of science and engineering. Must have knowledge of a computer programming language, familiarity with partial differential equations and elements of scientific computing.","['MATH 4640', 'MATH 4347']",MATH 4347 and MATH 4640
MATH 6641 - Adv Num Meth-Pt Diff Eqn,"Analysis and implementation of numerical methods for nonlinear partial differential equations including elliptic, hyperbolic, and/or parabolic problems. Must have knowledge of classic linear partial differential equations and exposure to numerical methods for partial differential equations at the level of MATH 6640 or numerical linear algebra at the level of MATH 6643.",[],
MATH 6643 - Numerical Linear Algebra,"Introduction to the numerical solution of the classic problems of linear algebra including linear systems, least squares, Singular value decomposition, eigenvalue problems. Crosslisted with CSE 6643.","['MATH 4305', 'MATH 2406']",MATH 2406 or MATH 4305
MATH 6644 - Iterative Meth-Sys Eqns,"Iterative methods for linear and nonlinear systems of equations including Jacobi, G-S, SOR, CG, multigrid, Newton quasi-Newton, updating, and gradient-based methods. Crosslisted with CSE 6644.",['MATH 6643'],MATH 6643
MATH 6645 - Numerical Approx Theory,"Theoretical and computational aspects of polynomial, rational, trigonometric, spline, and wavelet approximation.","['MATH 4640', 'MATH 4317']",MATH 4317 and MATH 4640
MATH 6646 - Numer Meth: Ord Diff Eqn,Analysis and implementation of numerical methods for initial and two-point boundary value problems for ordinary differential equations.,"['MATH 2403', 'MATH 4640']",MATH 2403 and MATH 4640
MATH 6647 - Numeric Meth:Dynamic Sys,Approximation of the dynamical structure of a differential equation and preservation of dynamical structure under discretization. Must be familiar with dynamical systems and numerical methods for initial and boundary value problems in ordinary differential equations.,"['MATH 4641', 'MATH 4640']",MATH 4640 and MATH 4641
MATH 6701 - Math Meth-Appli Sci I,"Review of linear algebra and ordinary differential equations, brief introduction to functions of a complex variable.","['MATH 2403', 'MATH 4305', 'MATH 2406']",MATH 2403 and (MATH 2406 or MATH 4305 )
MATH 6702 - Math Meth-Appl Sci II,Review of vector calculus and its applications to partial differential equations.,"['MATH 2406', 'MATH 2403', 'MATH 4305', 'MATH 6701']",MATH 6701 or (MATH 2406 and MATH 2403 ) or (MATH 2403 and MATH 4305 )
MATH 6705 - Modeling and Dynamics,"Mathematical methods for solving problems in the life sciences.  Models-based course on basic facts from the theory of ordinary differential equations and numerical methods of their solution.  Introduction to the control theory, diffusion theory, maximization, minimization and curve fitting.  Math majors may not use this course toward any degree in the School of Mathematics.","['MATH 1512', 'MATH 1502']",MATH 1502 or MATH 1512
MATH 6710 - Numerical Methods-CSE I,"Introduction to numerical algorithms widely used in computational science and engineering. Numerical linear algebra, linear programming, and applications. Crosslisted with CSE 6710.","['MATH 2401', 'CS 1332', 'CS 1372', 'MATH 2411', 'MATH 2605']",(MATH 2401 or MATH 2411 or MATH 2605 ) and (CS 1332 or CS 1372 )
MATH 6711 - Numerical Methods-CSE II,Efficient numerical techniques for solving partial differential equations and large-scale systems of equations arising from discretization of partial differential equations or variational problems in applications in science and engineering. Crosslisted with CSE 6711.,"['MATH 2411', 'MATH 2605', 'MATH 2401']",MATH 2401 or MATH 2411 or MATH 2605
MATH 6759 - Stoch Process-Finance I,"Mathematical modeling of financial markets, derivative securities pricing, and portfolio optimization.  Concepts from probability and mathematics are introduced as needed. Crosslisted with ISYE 6759.","['MATH 3215', 'MATH 3225']",MATH 3215 or MATH 3225
MATH 6761 - Stochastic Processes I,"Discrete time Markov chains, Poisson processes, and renewal processes. Transient and limiting behavior.  Average cost and utility measures of systems.  Algorithms for computing performance measures.  Modeling of inventories, and flows in manufacturing and computer networks. Crosslisted with ISYE 6761.","['MATH 3215', 'MATH 3225']",MATH 3215 or MATH 3225
MATH 6762 - Stochastic Processes II,"Continuous time Markov chains. Uniformization, transient and limiting behavior.  Brownian motion and martingales. Optional sampling and convergence.  Modeling of inventories, finance, flows in manufacturing and computer networks. Crosslisted with ISYE 6762","['ISYE 6761', 'MATH 6761']",MATH 6761 or ISYE 6761
MATH 6767 - Sys-Computation Finance,"Computational Finance Introduction to large scale system design to support computational finance for options, stocks, or other financial instruments. Some programming experience, and previous exposure to stocks, bonds, and options required. Crosslisted with ISYE 6767",[],
MATH 6769 - Fixed Income Securities,"Description, institutional features, and mathematical modeling of fixed income securities.  Use of both deterministic and stochastic models. Crosslisted with ISYE 6769.","['MATH 3215', 'MATH 3225', 'MGT 6060', 'MGT 6078']",MATH 3215 or MATH 3225 and (MGT 6060 or MGT 6078 )
MATH 6783 - Financial Data Analysis,Fundamentals of statistical inference for models used in the modern analysis of financial data. Crosslisted with ISYE 6783.,"['MATH 3215', 'MATH 3225']",MATH 3215 or MATH 3225
MATH 6785 - The Practice of QCF,"Case studies, visiting lecturers from financial institutions, student group projects of an advanced nature, and student reports, all centered around quantitative and computational finance. Crosslisted with ISYE and MGT 6785.",[],
MATH 6793 - Adv Topics in QCF,Advanced foundational material and analysis techniques in quantitative and computational finance. Crosslisted with ISYE 6793.,[],
MATH 7012 - Enumerative Combinatoric,"Fundamental methods of enumeration and asymptotic analysis, including the use of inclusion/exclusion, generating functions, and recurrence relations.  Applications to strings over a finite alphabet and graphs.",['MATH 4032'],MATH 4032
MATH 7014 - Advanced Graph Theory,Advanced topics in graph theory.  Selection of arguments varies every year.,['MATH 6014'],MATH 6014
MATH 7016 - Combinatorics,"Fundamental combinatorial structures including hypergraphs, transversal sets, colorings, Sperner families, intersecting families, packings and coverings, perfect graphs, and Ramsey theory.  Algebraic and topological methods, applications.",['MATH 4022'],MATH 4022
MATH 7018 - Probab Combinatorics,"Applications of probabilistic techniques in discrete mathematics, including classical ideas using expectation and variance as well as modern tools, such as martingale and correlation inequalities.","['MATH 6221', 'MATH 4022']",MATH 4022 and MATH 6221
MATH 7244 - Stochastic Calculus I,An introduction to the Ito stochastic calculus and stochastic differential equations through a development of continuous-time martingales and Markov processes. First of two courses.,['MATH 6242'],MATH 6242
MATH 7245 - Stochastic Calculus II,An introduction to the Ito stochastic calculus and stochastic differential equations through a development of continuous-time martingales and Markov processes. Continuation of MATH 7244.,['MATH 7244'],MATH 7244
MATH 7251 - High-Dim Probability,The goal of this PhD level graduate course is to provide a rigorous introduction to the methods of high-dimensional probability.,[],
MATH 7252 - High-Dim Statistics,The goal of this PhD level graduate course is to provide a rigorous introduction to the methods of high-dimensional statistics,[],
MATH 7337 - Harmonic Analysis,Fourier analysis on the torus and Euclidean space.,"['MATH 6327', 'MATH 6337']",MATH 6327 or MATH 6337
MATH 7338 - Functional Analysis,"Spectral theory of bounded and unbounded operators, major theorems of functional analysis, additional topics.","['MATH 6338', 'MATH 6337']",MATH 6337 or MATH 6338
MATH 7339 - Advanced Analysis,A comprehensive overview of advanced material in analysis. This is a Repeatable Course with 5 different subtitles;,[],
MATH 7510 - Graph Algorithms,"Algorithms for graph problems such as maximum flow, covering, matching, coloring, planarity, minimum cuts, shortest paths, and connectivity.  Crosslisted with ISYE 7510 and CS 7510.","['CS 6550', 'CS 6505']",CS 6505 or CS 6550
MATH 7581 - Calculus Variations,"Minimization of functionals, Euler-Lagrange equations, sufficient conditions for a minimum; geodesic, isoperometric, and time of transit problems; variational principles of mechanics; applications to control theory.",['MATH 4317'],MATH 4317
MATH 7586 - Tensor Analysis,"Review of linear algebra, multilinear algebra, algebra of tensors, co- and contravariant tensors, tensors in Riemann spaces, geometrical interpretation of skew tensors.","['MATH 2403', 'MATH 4305', 'MATH 2406']",MATH 2403 and (MATH 2406 or MATH 4305 )
MATH 8305 - Aural-Oral Engl for Math,"Enhancement of English listening/speaking skills for SOM international graduate students, post-docs, and new faculty who speak English as their second language (ESL) and who will be teaching undergraduate students.",[],
MATH 8306 - Intermed Academic Commun,Continued enhancement of English listening/speaking skills for current and future SOM graduate international teaching assistants and international lead instructors who speak English as their second language (ESL).,['MATH 8305'],MATH 8305
MATH 8307 - Advanced Academic Commun,Continued enhancement of English listening/speaking skills for current and future SOM graduate international teaching assistants and international lead instructors who speak English as their second language (ESL).,['MATH 8305'],MATH 8305
MATH 8801 - Special Topics,This course enables the School of Mathematics to comply with requests for courses in selected topics.,[],
MATH 8802 - Special Topics,This course enables the School of Mathematics to comply with requests for courses in selected topics.,[],
MATH 8803 - Special Topics,This course enables the School of Mathematics to comply with requests for courses in selected topics.,[],
MATH 8804 - Special Topics,This course enables the School of Mathematics to comply with requests for courses in selected topics.,[],
MATH 8805 - Special Topics,This course enables the school of Mathematics to comply with requests for courses in selected topics.,[],
MATH 8811 - Special Topics,This course enables the School of Mathematics to comply with requests for courses in selected topics.,[],
MATH 8812 - Special Topics,This course enables the School of Mathematics to comply with requests for courses in selected topics.,[],
MATH 8813 - Special Topics,This course enables the School of Mathematics to comply with requests for courses in selected topics.,[],
MATH 8814 - Special Topics,This course enables the School of Mathematics to comply with requests for courses in selected topics.,[],
MATH 8815 - Special Topics,This course enables the School of Mathematics to comply with requests for courses in selected topics.,[],
MATH 8821 - Special Topics,This course enables the School of Mathematics to comply with requests for courses in selected topics.,[],
MATH 8822 - Special Topics,This course enables the School of Mathematics to comply with requests for courses in selected topics.,[],
MATH 8823 - Special Topics,This course enables the School of Mathematics to comply with requests for courses in selected topics.,[],
MATH 8824 - Special Topics,This course enables the School of Mathematics to comply with requests for courses in selected topics.,[],
MATH 8825 - Special Topics,This course enables the School of Mathematics to comply with requests for courses in selected topics.,[],
MATH 8831 - Special Topics,This course enables the School of Mathematics to comply with requests for courses in selected topics.,[],
MATH 8832 - Special Topics,This course enables the School of Mathematics to comply with requests for courses in selected topics.,[],
MATH 8833 - Special Topics,This course enables the School of Mathematics to comply with requests for courses in selected topics.,[],
MATH 8834 - Special Topics,This course enables the School of Mathematics to comply with requests for courses in selected topics.,[],
MATH 8835 - Special Topics,This course enables the School of Mathematics to comply with requests for courses in selected topics.,[],
MATH 8841 - Special Topics,This course enables the School of Mathematics to comply with requests for courses in selected topics.,[],
MATH 8842 - Special Topics,This course enables the School of Mathematics to comply with requests for courses in selected topics.,[],
MATH 8843 - Special Topics,This course enables the School of Mathematics to comply with requests for courses in selected topics.,[],
MATH 8844 - Special Topics,This course enables the School of Mathematics to comply with requests for courses in selected topics.,[],
MATH 8845 - Special Topics,This course enables the School of Mathematics to comply with requests for courses in selected topics.,[],
MATH 8851 - Special Topics,This course enables the School of Mathematics to comply with requests for courses in selected topics.,[],
MATH 8852 - Special Topics,This course enables the School of Mathematics to comply with requests for courses in selected topics.,[],
MATH 8853 - Special Topics,This course enables the school of Mathematics to comply with requests for courses in selected topics.,[],
MATH 8854 - Special Topics,This course enables the School of Mathematics to comply with requests for courses in selected topics.,[],
MATH 8855 - Special Topics,This course enables the School of Mathematics to comply with requests for courses in selected topics.,[],
MATH 8863 - Topics in Graph Theory,Selection of topics vary with each offering.,['MATH 6014'],MATH 6014
MATH 8873 - Special Topics,This course enables the school of Mathematics to comply with requests for courses in selected topics.,[],
